driver_id,talkative,radio_on,smoking_allowed,pets_allowed,car_big,driver_gender,rating,works_morning,works_afternoon,works_evening,works_night
D0,no,yes,no,no,no,male,4.4,yes,yes,no,no
D1,no,no,yes,no,no,male,3.7,yes,yes,yes,no
D2,yes,yes,no,yes,yes,female,4.2,yes,yes,no,no
D3,no,no,yes,yes,no,male,4.3,no,yes,yes,yes
D4,no,no,no,no,no,female,3.8,yes,no,yes,yes
D5,no,yes,yes,no,yes,female,4.6,no,no,yes,no
D6,yes,no,no,yes,yes,male,3.7,no,no,yes,no
D7,yes,no,no,no,no,male,3.5,yes,yes,yes,no
D8,yes,yes,yes,no,yes,male,3.9,yes,no,yes,no
D9,no,no,no,no,yes,female,4.2,no,no,no,yes
D10,no,no,no,no,yes,male,4.5,no,yes,no,no
D11,no,yes,no,no,no,male,3.8,yes,yes,yes,no
D12,yes,yes,no,yes,yes,female,3.6,no,no,no,no
D13,yes,yes,no,no,yes,male,4.3,yes,yes,yes,yes
D14,no,no,yes,no,yes,female,4.0,yes,no,no,no
D15,yes,yes,no,yes,yes,female,4.5,yes,no,no,no
D16,yes,yes,yes,yes,yes,female,3.8,yes,yes,no,no
D17,no,no,no,no,no,female,4.4,no,no,no,no
D18,no,no,no,yes,no,male,3.6,yes,yes,no,no
D19,no,no,yes,no,no,female,4.1,yes,yes,yes,yes
D20,no,yes,no,yes,yes,female,3.8,yes,yes,no,no
D21,yes,yes,no,no,yes,female,3.6,yes,yes,yes,no
D22,yes,yes,yes,no,yes,female,4.1,no,no,yes,yes
D23,yes,no,yes,yes,no,female,4.6,yes,yes,yes,yes
D24,yes,yes,yes,yes,no,male,5.0,yes,yes,yes,no
D25,no,no,yes,no,no,male,4.2,yes,no,yes,no
D26,no,yes,yes,yes,yes,male,4.3,yes,yes,no,yes
D27,no,no,no,no,yes,male,3.9,no,no,yes,no
D28,yes,yes,yes,no,yes,female,4.8,no,no,yes,no
D29,yes,yes,no,no,yes,male,4.5,yes,no,no,yes
D30,yes,no,no,yes,yes,female,4.1,no,yes,yes,yes
D31,no,yes,no,yes,no,female,4.8,yes,yes,no,yes
D32,no,no,no,yes,yes,male,3.6,no,no,yes,yes
D33,no,yes,no,no,yes,female,4.9,no,no,yes,yes
D34,yes,yes,no,no,no,male,4.7,no,yes,no,no
D35,no,no,no,no,yes,female,3.6,yes,yes,no,no
D36,yes,yes,yes,yes,yes,male,3.7,yes,no,yes,no
D37,no,yes,no,no,no,male,5.0,no,no,yes,no
D38,no,no,yes,no,no,male,4.0,no,yes,yes,yes
D39,no,yes,no,no,yes,male,4.5,yes,no,yes,no
D40,yes,no,no,no,no,female,4.9,yes,no,yes,yes
D41,no,yes,no,no,yes,female,3.9,no,no,no,yes
D42,no,no,yes,yes,yes,female,4.4,yes,no,no,no
D43,no,no,no,yes,yes,male,3.7,yes,yes,yes,no
D44,no,no,no,yes,no,female,4.2,no,yes,no,no
D45,yes,yes,yes,yes,yes,female,3.7,no,yes,no,no
D46,no,yes,no,no,no,male,4.9,no,no,no,no
D47,yes,yes,no,no,yes,male,3.8,yes,no,yes,yes
D48,yes,no,no,no,no,male,4.6,yes,yes,yes,yes
D49,no,yes,yes,yes,no,female,3.9,yes,no,no,no
D50,yes,no,no,no,yes,female,4.9,yes,yes,yes,no
D51,yes,yes,no,no,no,female,4.0,no,yes,no,yes
D52,yes,no,yes,no,no,male,4.0,no,yes,yes,no
D53,yes,no,no,no,no,male,4.2,yes,no,no,no
D54,yes,yes,yes,no,no,male,4.4,no,yes,yes,no
D55,no,yes,no,no,yes,female,3.6,no,no,yes,no
D56,yes,no,no,no,yes,male,4.3,yes,yes,no,yes
D57,yes,no,yes,yes,yes,male,4.5,yes,no,no,no
D58,yes,no,no,no,no,male,3.8,yes,yes,yes,no
D59,no,no,no,yes,yes,female,4.3,yes,yes,no,yes
D60,no,yes,no,no,no,male,4.4,yes,yes,yes,no
D61,yes,yes,yes,no,no,female,4.4,yes,no,yes,no
D62,no,no,yes,no,no,female,4.5,yes,yes,no,yes
D63,no,no,no,yes,no,male,4.0,yes,no,no,yes
D64,yes,no,no,no,no,female,4.0,yes,no,no,yes
D65,yes,yes,no,yes,yes,female,3.7,no,no,no,no
D66,yes,yes,no,no,no,male,3.9,no,no,no,no
D67,yes,no,no,yes,no,female,4.7,yes,yes,no,no
D68,yes,no,no,yes,yes,female,4.9,no,no,no,no
D69,yes,no,yes,no,yes,female,4.0,no,yes,yes,no
D70,yes,yes,yes,yes,no,male,3.7,yes,yes,yes,yes
D71,yes,no,no,yes,no,female,3.9,yes,yes,no,yes
D72,yes,yes,no,yes,yes,male,4.1,yes,no,yes,yes
D73,yes,yes,no,yes,yes,female,3.7,yes,no,yes,no
D74,no,yes,no,no,no,male,4.6,yes,yes,no,no
D75,no,yes,no,no,no,female,4.7,yes,yes,no,yes
D76,yes,no,no,yes,no,male,4.1,yes,no,yes,no
D77,no,no,no,no,yes,female,5.0,yes,no,no,no
D78,no,yes,no,yes,yes,female,4.9,no,no,no,no
D79,yes,yes,yes,no,no,male,4.7,yes,yes,no,yes
D80,no,yes,no,yes,no,female,3.8,no,no,no,no
D81,no,no,no,yes,yes,female,3.9,no,no,yes,yes
D82,yes,no,yes,yes,no,male,3.5,yes,no,yes,no
D83,no,no,yes,yes,yes,female,3.6,yes,yes,yes,no
D84,no,yes,no,no,yes,male,3.9,no,no,no,yes
D85,no,no,no,no,no,female,4.3,yes,no,yes,yes
D86,yes,no,no,yes,no,male,4.1,yes,yes,yes,yes
D87,no,yes,no,yes,no,female,4.6,no,yes,yes,yes
D88,no,no,yes,yes,yes,female,4.6,no,no,yes,no
D89,no,yes,yes,no,yes,female,4.1,no,no,yes,no
