passenger_id,driver_id,time_of_trip,interaction
P0,D53,evening,0
P0,D86,evening,0
P0,D70,evening,0
P0,D16,night,0
P0,D60,night,0
P0,D83,afternoon,0
P0,D85,night,1
P0,D31,afternoon,1
P0,D19,afternoon,0
P0,D38,afternoon,0
P0,D33,night,1
P0,D40,night,0
P0,D67,morning,0
P0,D36,night,0
P0,D43,afternoon,1
P0,D11,afternoon,0
P0,D63,morning,1
P0,D64,morning,0
P0,D42,morning,0
P0,D58,afternoon,0
P0,D79,evening,0
P0,D5,afternoon,0
P0,D61,evening,0
P0,D51,morning,0
P0,D49,night,0
P0,D18,night,0
P0,D34,morning,0
P0,D45,afternoon,0
P0,D21,afternoon,0
P0,D0,afternoon,0
P0,D26,night,0
P0,D32,night,1
P0,D47,evening,0
P0,D84,afternoon,0
P0,D1,afternoon,0
P0,D44,morning,0
P0,D88,afternoon,0
P0,D27,afternoon,0
P0,D72,afternoon,0
P0,D55,afternoon,0
P0,D52,afternoon,0
P0,D65,afternoon,0
P0,D71,morning,0
P0,D12,morning,0
P0,D56,morning,0
P0,D3,afternoon,0
P0,D57,evening,0
P0,D17,night,0
P0,D50,evening,0
P0,D68,night,0
P0,D8,night,0
P0,D89,evening,0
P0,D66,morning,0
P0,D78,evening,0
P0,D7,afternoon,0
P0,D20,night,0
P0,D13,night,0
P0,D39,night,0
P0,D62,morning,0
P0,D48,morning,0
P1,D79,night,0
P1,D44,afternoon,1
P1,D9,night,1
P1,D32,night,1
P1,D80,evening,0
P1,D2,morning,1
P1,D11,evening,0
P1,D62,afternoon,1
P1,D41,morning,0
P1,D1,morning,0
P1,D51,night,0
P1,D65,evening,0
P1,D58,morning,0
P1,D22,morning,0
P1,D42,morning,1
P1,D26,night,1
P1,D30,morning,0
P1,D8,afternoon,0
P1,D15,afternoon,0
P1,D77,afternoon,1
P1,D86,morning,0
P1,D61,night,0
P1,D45,night,0
P1,D18,night,0
P1,D88,evening,1
P1,D56,night,0
P1,D89,afternoon,0
P1,D28,morning,0
P1,D52,night,0
P1,D70,evening,0
P1,D69,evening,1
P1,D63,evening,0
P1,D25,night,0
P1,D55,evening,1
P1,D84,morning,0
P1,D83,morning,1
P1,D24,evening,0
P1,D21,evening,1
P1,D13,morning,0
P1,D14,morning,1
P1,D19,night,1
P1,D85,night,1
P1,D87,morning,0
P1,D5,night,0
P1,D37,afternoon,0
P1,D17,night,0
P1,D27,morning,0
P1,D23,evening,0
P1,D59,afternoon,1
P1,D82,afternoon,0
P1,D49,afternoon,0
P1,D66,afternoon,0
P1,D67,evening,0
P1,D78,night,1
P1,D68,morning,0
P1,D29,night,0
P1,D76,evening,0
P1,D35,afternoon,1
P1,D0,evening,0
P1,D39,evening,1
P2,D10,morning,0
P2,D6,night,0
P2,D9,night,1
P2,D26,evening,0
P2,D7,evening,0
P2,D32,night,0
P2,D55,morning,0
P2,D45,evening,0
P2,D39,afternoon,0
P2,D42,afternoon,0
P2,D18,night,0
P2,D74,night,0
P2,D3,morning,0
P2,D24,evening,1
P2,D21,evening,1
P2,D47,evening,0
P2,D69,afternoon,1
P2,D30,afternoon,1
P2,D56,afternoon,0
P2,D37,evening,1
P2,D41,morning,0
P2,D63,afternoon,0
P2,D11,evening,0
P2,D31,morning,1
P2,D58,night,0
P2,D1,night,0
P2,D29,evening,0
P2,D80,night,0
P2,D60,morning,0
P2,D8,night,0
P2,D0,evening,0
P2,D27,night,0
P2,D20,evening,0
P2,D53,evening,0
P2,D87,night,1
P2,D34,night,0
P2,D67,morning,1
P2,D33,morning,0
P2,D14,evening,0
P2,D64,evening,0
P2,D79,morning,0
P2,D71,afternoon,1
P2,D2,afternoon,1
P2,D65,evening,0
P2,D66,afternoon,0
P2,D46,evening,0
P2,D40,evening,1
P2,D88,night,0
P2,D83,evening,1
P2,D22,afternoon,0
P2,D86,morning,0
P2,D75,night,1
P2,D48,morning,0
P2,D59,evening,0
P2,D12,night,0
P2,D5,afternoon,0
P2,D68,evening,0
P2,D17,night,0
P2,D38,morning,0
P2,D62,afternoon,1
P3,D14,morning,1
P3,D68,afternoon,0
P3,D73,afternoon,0
P3,D58,afternoon,0
P3,D24,afternoon,0
P3,D56,morning,1
P3,D17,night,0
P3,D89,night,0
P3,D4,afternoon,0
P3,D64,afternoon,0
P3,D19,afternoon,0
P3,D0,evening,0
P3,D31,afternoon,0
P3,D69,night,0
P3,D40,afternoon,0
P3,D41,afternoon,0
P3,D83,evening,1
P3,D86,morning,0
P3,D53,night,0
P3,D11,morning,0
P3,D35,morning,1
P3,D72,morning,0
P3,D10,morning,0
P3,D60,evening,0
P3,D62,night,0
P3,D54,morning,0
P3,D2,afternoon,0
P3,D18,afternoon,0
P3,D28,night,0
P3,D29,morning,0
P3,D37,morning,0
P3,D25,afternoon,0
P3,D30,morning,0
P3,D71,afternoon,0
P3,D88,morning,0
P3,D74,afternoon,0
P3,D42,night,0
P3,D13,morning,0
P3,D82,night,0
P3,D43,morning,0
P3,D85,evening,0
P3,D78,evening,0
P3,D45,evening,0
P3,D81,evening,1
P3,D9,night,1
P3,D48,afternoon,0
P3,D5,afternoon,0
P3,D46,afternoon,0
P3,D34,morning,0
P3,D80,evening,0
P3,D6,night,0
P3,D67,night,0
P3,D65,night,0
P3,D8,morning,0
P3,D32,afternoon,0
P3,D77,evening,0
P3,D1,evening,0
P3,D50,evening,1
P3,D16,afternoon,0
P3,D47,night,0
P4,D58,morning,0
P4,D59,night,1
P4,D65,afternoon,0
P4,D40,afternoon,0
P4,D10,evening,0
P4,D42,night,0
P4,D18,morning,0
P4,D68,afternoon,0
P4,D5,evening,1
P4,D21,evening,0
P4,D0,night,0
P4,D63,afternoon,0
P4,D56,afternoon,0
P4,D24,night,0
P4,D1,evening,0
P4,D30,evening,0
P4,D71,morning,0
P4,D64,evening,0
P4,D13,morning,0
P4,D66,evening,0
P4,D31,evening,0
P4,D77,afternoon,0
P4,D78,evening,0
P4,D34,afternoon,0
P4,D76,afternoon,0
P4,D43,afternoon,1
P4,D25,afternoon,0
P4,D36,morning,0
P4,D86,morning,0
P4,D23,evening,0
P4,D49,afternoon,0
P4,D79,night,0
P4,D29,night,0
P4,D75,night,0
P4,D33,afternoon,0
P4,D89,afternoon,0
P4,D82,afternoon,0
P4,D44,evening,0
P4,D67,morning,0
P4,D53,morning,0
P4,D62,afternoon,0
P4,D70,evening,0
P4,D81,evening,1
P4,D46,night,0
P4,D61,night,0
P4,D12,afternoon,0
P4,D9,afternoon,0
P4,D16,evening,0
P4,D39,afternoon,0
P4,D22,afternoon,0
P4,D52,morning,0
P4,D73,afternoon,0
P4,D87,morning,0
P4,D4,afternoon,0
P4,D35,night,0
P4,D2,evening,0
P4,D7,night,0
P4,D88,morning,0
P4,D6,afternoon,0
P4,D3,afternoon,0
P5,D77,afternoon,0
P5,D23,evening,0
P5,D55,afternoon,0
P5,D86,night,0
P5,D71,evening,0
P5,D64,night,1
P5,D29,morning,0
P5,D31,afternoon,1
P5,D50,afternoon,1
P5,D6,evening,0
P5,D52,afternoon,0
P5,D53,evening,0
P5,D27,afternoon,0
P5,D11,afternoon,0
P5,D39,night,0
P5,D60,afternoon,0
P5,D69,afternoon,1
P5,D26,night,0
P5,D66,night,0
P5,D49,evening,0
P5,D5,morning,0
P5,D48,night,0
P5,D34,evening,0
P5,D46,night,0
P5,D2,morning,0
P5,D89,evening,1
P5,D1,evening,0
P5,D12,morning,0
P5,D32,afternoon,0
P5,D3,morning,0
P5,D38,afternoon,0
P5,D59,evening,0
P5,D0,evening,0
P5,D16,evening,0
P5,D13,night,0
P5,D54,evening,0
P5,D84,afternoon,0
P5,D76,night,0
P5,D68,evening,0
P5,D72,evening,0
P5,D33,morning,0
P5,D20,night,0
P5,D58,morning,0
P5,D85,afternoon,0
P5,D61,evening,1
P5,D30,afternoon,0
P5,D21,afternoon,1
P5,D81,evening,0
P5,D67,night,0
P5,D47,evening,0
P5,D4,morning,1
P5,D65,evening,0
P5,D45,afternoon,0
P5,D88,night,0
P5,D24,morning,0
P5,D17,evening,0
P5,D56,afternoon,0
P5,D75,evening,0
P5,D63,morning,0
P5,D37,evening,1
P6,D27,afternoon,0
P6,D1,evening,0
P6,D2,night,0
P6,D28,evening,0
P6,D73,morning,0
P6,D50,evening,1
P6,D23,night,0
P6,D37,morning,0
P6,D5,night,0
P6,D45,night,0
P6,D83,afternoon,0
P6,D68,night,0
P6,D24,night,0
P6,D10,morning,0
P6,D71,morning,0
P6,D3,afternoon,0
P6,D53,afternoon,0
P6,D32,night,0
P6,D77,afternoon,0
P6,D84,night,1
P6,D85,afternoon,0
P6,D16,afternoon,0
P6,D62,night,0
P6,D26,night,0
P6,D25,afternoon,0
P6,D0,morning,1
P6,D17,morning,0
P6,D29,afternoon,0
P6,D65,night,0
P6,D22,morning,0
P6,D38,evening,0
P6,D63,night,0
P6,D59,afternoon,1
P6,D39,evening,1
P6,D67,night,0
P6,D87,evening,1
P6,D43,morning,0
P6,D74,evening,0
P6,D36,afternoon,0
P6,D8,night,0
P6,D18,afternoon,0
P6,D56,morning,0
P6,D13,evening,0
P6,D30,afternoon,0
P6,D69,morning,0
P6,D34,afternoon,0
P6,D79,morning,0
P6,D21,evening,0
P6,D82,evening,0
P6,D60,evening,1
P6,D11,afternoon,1
P6,D81,morning,0
P6,D86,morning,0
P6,D14,evening,0
P6,D6,morning,0
P6,D31,evening,0
P6,D64,night,0
P6,D55,night,0
P6,D72,evening,0
P6,D51,afternoon,0
P7,D86,night,0
P7,D24,evening,0
P7,D52,morning,0
P7,D31,morning,0
P7,D42,morning,0
P7,D87,night,0
P7,D39,morning,1
P7,D67,morning,0
P7,D35,evening,0
P7,D2,afternoon,0
P7,D73,night,0
P7,D13,morning,0
P7,D89,night,0
P7,D68,night,0
