passenger_id,trajet_id,quiet_ride,radio_ok,smoking_ok,pets_ok,luggage_large,female_driver_pref,distance_km,score_distance,work_hour_match,distance_bucket,quiet_ride_bin,radio_ok_bin,smoking_ok_bin,pets_ok_bin,luggage_large_bin,female_driver_pref_bin
P18,T20341,no,no,no,no,yes,yes,417.32,0.1241,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P18,T20342,no,no,no,yes,yes,yes,13.16,0.9363,1,dist:close,0.0,0.0,0.0,1.0,1.0,1.0
P18,T20343,yes,no,no,no,yes,no,3.52,0.9826,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20344,no,no,no,no,yes,no,305.48,0.2171,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,0.0
P18,T20345,yes,no,no,no,yes,no,2.93,0.9855,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20346,yes,no,no,no,yes,yes,33.97,0.8438,0,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20347,yes,yes,no,no,yes,no,320.91,0.201,0,dist:very_far,1.0,1.0,0.0,0.0,1.0,0.0
P18,T20350,yes,no,no,no,yes,no,9.21,0.955,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20351,yes,no,no,no,yes,no,46.65,0.792,0,dist:medium,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20352,yes,no,no,no,yes,yes,254.74,0.2798,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20353,yes,no,no,no,yes,no,317.63,0.2043,0,dist:very_far,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20354,yes,no,no,yes,yes,yes,12.97,0.9372,1,dist:close,1.0,0.0,0.0,1.0,1.0,1.0
P18,T20355,yes,yes,no,no,yes,yes,5.6,0.9724,0,dist:very_close,1.0,1.0,0.0,0.0,1.0,1.0
P18,T20356,no,no,no,no,yes,yes,418.28,0.1235,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P18,T20357,yes,no,no,no,yes,yes,8.66,0.9576,0,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20358,yes,no,no,no,yes,no,31.81,0.853,1,dist:medium,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20359,yes,no,yes,no,yes,no,15.15,0.927,1,dist:close,1.0,0.0,1.0,0.0,1.0,0.0
P18,T20360,yes,no,no,no,no,yes,3.89,0.9807,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P18,T20361,yes,yes,no,no,yes,yes,4.75,0.9765,1,dist:very_close,1.0,1.0,0.0,0.0,1.0,1.0
P18,T20362,yes,no,yes,no,yes,no,173.83,0.4193,0,dist:far,1.0,0.0,1.0,0.0,1.0,0.0
P18,T20363,yes,no,no,no,yes,yes,23.82,0.8877,0,dist:close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20364,yes,yes,no,no,yes,yes,247.89,0.2895,0,dist:very_far,1.0,1.0,0.0,0.0,1.0,1.0
P18,T20365,no,yes,no,no,yes,no,22.56,0.8933,1,dist:close,0.0,1.0,0.0,0.0,1.0,0.0
P18,T20366,yes,no,no,no,yes,yes,13.62,0.9342,0,dist:close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20367,no,no,no,no,yes,no,15.88,0.9237,1,dist:close,0.0,0.0,0.0,0.0,1.0,0.0
P18,T20368,yes,no,no,no,yes,no,318.59,0.2033,0,dist:very_far,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20369,yes,no,no,no,yes,no,15.05,0.9275,1,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20370,yes,no,no,no,yes,yes,36.08,0.8349,1,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20371,yes,no,no,no,yes,no,8.74,0.9572,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20372,yes,no,no,no,yes,no,0.98,0.9951,0,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20373,yes,no,no,no,no,yes,6.21,0.9694,0,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P18,T20374,yes,no,no,no,yes,yes,256.23,0.2777,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20375,no,no,no,no,yes,no,21.27,0.8991,0,dist:close,0.0,0.0,0.0,0.0,1.0,0.0
P18,T20376,yes,no,no,no,yes,yes,32.74,0.849,1,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
