passenger_id,quiet_ride,radio_ok,smoking_ok,pets_ok,luggage_large,female_driver_pref
P0,yes,no,no,yes,no,no
P1,yes,yes,yes,yes,yes,yes
P2,no,yes,yes,yes,no,yes
P3,no,no,yes,no,yes,yes
P4,yes,no,yes,no,yes,no
P5,no,yes,yes,no,no,yes
P6,yes,yes,no,no,no,yes
P7,yes,no,no,yes,yes,no
P8,no,no,no,no,yes,no
P9,no,no,yes,yes,yes,no
P10,yes,no,no,no,no,no
P11,yes,no,no,no,yes,yes
P12,no,no,no,yes,yes,no
P13,no,no,no,yes,yes,no
P14,yes,yes,no,no,no,no
P15,no,no,no,yes,no,no
P16,yes,no,yes,yes,yes,no
P17,no,yes,no,no,no,yes
P18,no,yes,yes,no,no,yes
P19,yes,no,no,no,no,no
P20,yes,no,yes,yes,yes,yes
P21,yes,yes,no,yes,no,no
P22,yes,no,yes,no,no,yes
P23,no,no,no,no,no,yes
P24,yes,no,no,no,yes,yes
P25,no,yes,no,no,no,yes
P26,yes,yes,yes,yes,yes,no
P27,yes,no,yes,yes,no,yes
P28,no,yes,yes,no,yes,no
P29,no,no,yes,no,no,no
P30,yes,yes,yes,no,yes,no
P31,no,yes,yes,no,yes,no
P32,yes,yes,yes,yes,yes,yes
P33,no,yes,no,no,yes,no
P34,no,no,no,no,no,yes
P35,no,yes,yes,no,yes,no
P36,no,yes,yes,yes,no,no
P37,no,no,yes,yes,yes,yes
P38,no,no,no,yes,yes,yes
P39,no,no,yes,yes,no,no
P40,no,yes,no,no,yes,yes
P41,yes,no,yes,yes,no,yes
P42,no,yes,yes,yes,yes,no
P43,no,yes,no,no,yes,no
P44,no,no,no,no,yes,yes
P45,yes,no,no,yes,no,no
P46,yes,yes,no,no,no,yes
P47,yes,no,no,no,no,yes
P48,no,yes,no,no,yes,no
P49,no,no,no,no,yes,yes
P50,yes,no,yes,yes,yes,no
P51,no,no,yes,yes,yes,no
P52,yes,yes,no,yes,no,no
P53,no,no,yes,yes,no,yes
P54,no,yes,no,no,no,no
P55,no,no,yes,yes,yes,yes
P56,yes,no,yes,no,no,yes
P57,no,yes,yes,yes,no,yes
P58,no,yes,yes,yes,no,no
P59,yes,yes,no,no,no,yes
P60,no,yes,no,yes,yes,yes
P61,yes,no,no,no,yes,yes
P62,no,yes,no,no,no,yes
P63,yes,yes,no,no,yes,no
P64,no,no,no,yes,yes,yes
P65,yes,yes,no,yes,no,yes
P66,yes,yes,yes,no,yes,yes
P67,yes,yes,yes,no,yes,no
P68,yes,yes,no,no,no,no
P69,yes,no,yes,yes,no,yes
P70,no,no,yes,yes,yes,no
P71,yes,yes,yes,yes,no,yes
P72,yes,yes,no,no,no,yes
P73,yes,yes,yes,yes,no,no
P74,yes,yes,yes,yes,yes,yes
P75,no,yes,yes,no,yes,yes
P76,no,no,no,yes,no,yes
P77,yes,no,no,yes,no,no
P78,yes,yes,yes,no,yes,no
P79,no,yes,yes,yes,yes,yes
P80,yes,yes,no,no,no,yes
P81,yes,no,no,no,no,no
P82,yes,no,yes,no,yes,no
P83,yes,no,no,no,no,no
P84,no,yes,no,yes,no,no
P85,yes,no,no,no,yes,yes
P86,no,yes,yes,yes,no,no
P87,no,yes,no,no,no,yes
P88,yes,yes,no,yes,no,yes
P89,yes,no,no,no,yes,no
P90,no,no,yes,no,no,no
P91,no,yes,yes,yes,no,no
P92,yes,no,no,yes,yes,no
P93,no,no,no,no,no,yes
P94,no,yes,no,no,no,no
P95,yes,yes,no,no,yes,no
P96,yes,no,no,no,yes,yes
P97,no,no,no,no,no,yes
P98,yes,no,no,yes,no,no
P99,yes,no,no,no,no,no
P100,yes,no,no,yes,yes,yes
P101,no,no,no,no,yes,no
